"id";"nome";"bairro";"rua";"numero";"linhas_onibus";"telefone";"latitude";"longitude"
c179e87a-7cf3-47e4-8b4d-5e53f0693759;Posto de Saude Dr Roberto da Silva Bruno;Fatima;Av Borges de Melo;"990";"31, 36, 44, 45, 49, 65, 73, 78, 85, 685, 823";(85) 3227-9177;-3.761006;-38.524006
c296a085-57b6-48a1-a8db-23b6a3330084;Posto de Saude Helio Goes Ferreira;Sapiranga;Rua Crisanto Moreira da Rocha;"453";"625, 640, 820";(85) 3452-5714;-3.806009;-38.482432
"212761fd-e4e9-4a92-b566-8c85f0942b70";Posto de Saude Irma Hercilia Aragao;Sao Joao do Tauape;Rua Frei Vidal;"1821";"602";(85) 3452-1883;-3.755866;-38.517571
"8c77ba67-132f-4e96-9917-bea8b50858bb";Posto de Saude Jangurussu;Passare;Rua Estrada do Itaperi;"146";"50, 52, 56, 82, 84, 315, 699";(85) 3452-2474;-3.827630;-38.530426
"6b1876ae-9aa9-4e99-9b38-d30b211dacac";Posto de Saude Janival de Almeida Vieira;Passare;Rua Coelho Garcia;"25";"620, 660, 666";(85) 3105-3095;-3.812444;-38.519610
ee48381d-b369-4007-86f5-43b42280b19b;Posto de Saude Jose Paracampos;Mondubim;Rua Alfredo Mamede;"250";"50, 51, 55, 82, 84, 384";(85) 3433-4927;-3.807743;-38.580514
"52bc081f-664a-447e-93f8-81b847e23bd0";Posto de Saude Joao Machado dos Santos;Planalto Ayrton Senna;Travessa Joao Henrique;"82";"317, 406, 456";"";-3.839567;-38.575726
"84f3473b-29b9-4409-8629-cf7c35f0324c";Posto de Saude Lineu Juca;Barra do Ceara;Rua Vila Velha II;"101";"16, 52, 56, 70, 92, 106, 702, 706, 711";(85) 3452-5888;-3.701512;-38.587298
"32e94452-2942-4dc2-a031-a9f05b0ef7d8";Posto de Saude Luciano Torres de Melo;Manoel Satiro;Rua Delta;"365";"362";(85) 3433-4922;-3.791504;-38.576801
"6490c58c-84a1-4b4c-a6cb-ff876334307d";Posto de Saude Luis Albuquerque Mendes;Serrinha;Rua Benjamin Franklin;"735";"359.405";(85) 3131-7335;-3.778443;-38.548836
"72c875f2-6dff-4b0b-95b1-21d120639675";Posto de Saude Luiza Tavora;Mondubim;Travessa Sao jose;"940";"340,315, 399, 406, 407, 456, 466, 728";(85) 3433-4916;-3.814139;-38.556456
"5f90a66f-81ee-4638-bf8e-01f13d63bbe5";Posto de Saude Licinio Nunes de Miranda;Quintino Cunha;Rua VI;"212-222";"211";(85) 3237-8574;-3.727640;-38.600977
"7fcacc7c-dab8-41c2-861d-b7cecffd12d9";Posto de Saude Maciel de Brito;Conjunto Ceara;Rua 602;"2";"385, 754";(85) 3452-2486 / 3452-2477;-3.768835;-38.604531
"26a101a8-a8e5-4f55-b481-81658c56ecb0";Posto de Saude Maria Aparecida Lima de Almeida;Vila Velha;Av K;"915";"212";(85) 3433-9514;-3.713901;-38.598490
"28db290e-46ac-4057-8ac1-b423176783e0";Posto de Saude Maria Cirino Souza;Moura Brasil;Rua da Saudade;"364";"16,52, 56, 71, 92, 106, 120, 130, 132, 711, 752";(85) 3212-1325;-3.719105;-38.535004
"60d34d6a-0653-4b14-bd8c-97beecab8b59";Posto de Saude Paulo Marcelo Martins Rodrigues;Centro;Rua Vinte e Cinco de Marco;"607";"73, 77, 78, 901";(85) 3105-1455;-3.729406;-38.522230
"25a1bb40-5a44-4b02-be70-1914af9ea601";Posto de Saude Pedro Celestino;Maraponga;Rua Gastao Justa;"215";"313, 353";(85) 3433-4915;-3.806041;-38.569470
"8a6b47ac-ee4e-4839-8498-13f7bb0cc78d";Posto de Saude Posto Miriam Porto;Dionisio Torres;Rua Coronel Juca;"1636";"69, 74, 75, 222, 703, 816, 855";(85) 3452-2315;-3.746014;-38.494164
"7bd790cd-65f3-4184-ae09-87d502561f4b";Posto de Saude Prof Jose Sobreira de Amorim;Henrique Jorge;Rua Desembargador Luis Paulino;"109";"24, 34, 43, 45, 72, 91, 172, 314, 356, 709, 754";(85) 3488-1271;-3.764761;-38.579682
"0d04d7e7-2573-4061-9f44-82303830fea3";Posto de Saude Prof Joao Hipolito de Azevedo;Dias Macedo;Rua Tres;"88";"312";(85) 3105-3200;-3.826500;-38.514857
"82c0ab29-0bad-48b0-8f2e-687feaae32cc";Posto de Saude Prof Luiz Recamonde Capelo;Bonsucesso;Rua Maria Quintela;"935";"52, 56, 82, 97";(85) 3488-3252;-3.775838;-38.588519
"3b9f31c6-4710-4d1e-8415-91691d7443fe";Posto de Saude Prof Monteiro de Moraes;Sapiranga Coite;Evilasio Almeida Miranda;"391";"610, 611, 625, 820";(85) 3452-6091;-3.800958;-38.466685
b3a64a7b-3785-410d-8088-3ed66b65951f;Posto de Saude Regina Maria da Silva Severino;Canindezinho;Rua Itatiaia;"889";"382";(85) 3433-5289;-3.807092;-38.600865
"8792ddde-6a6b-41b7-8c50-82688c431d6e";Posto de Saude Pedro Sampaio;Conjunto Palmeiras;Rua Iracema;"1516";"629, 660, 712";(85) 3105-1767;-3.844523;-38.527929
"9a72adc9-07e9-4946-8128-e9305505ef30";Posto de Saude Clodoaldo Pinto;Padre Andrade;Rua Banvarth Bezerra;"100";"206";(85) 3433-9745;-3.730748;-38.580971
"893ecb02-eba0-4c3b-9e13-70ff6ff62512";Posto de Saude Dr Alarico Leite;Passare;Av dos Paroaras;"301";"391, 633, 306, 391";(85) 3452-9363;-3.811910;-38.537686
c0c4b250-14c3-424a-bc7d-741cf3e9de14;Posto de Saude Dr Antonio Ciriaco de Holanda Neto;Parangaba;Rua Gomes Brasil;"555";"36, 40, 411, 421,304, 308, 318, 348, 394";"";-3.771260;-38.570541
"60371e56-8d8e-4a6d-8829-8b711ebc1bb2";Posto de Saude Dr Celio Brasil Girao;Cais do Porto;Rua Professor Henrique Firmeza;"82";"77, 752, 906, 913";(85) 3433-2739;-3.718080;-38.464947
"6df12047-e84e-4154-9f71-b903632a7524";Posto de Saude Dr Edmar Fujita;Dias Macedo;Av Alberto Craveiro;"4211";"312, 603, 605, 606, 633, 666, 680";(85) 3452-5130;-3.780218;-38.515410
b3ed152b-ddaf-46ab-958a-310b8e0a1d78;Posto de Saude Dr Gothardo Peixoto F Lima;Damas;Rua Irma Bazet;"153";"29, 30, 38, 48, 65, 70, 77, 314, 331, 360,374,390";(85) 3433-5084;-3.760907;-38.555586
b8e80aad-659a-4d5e-9dd4-d2f0ef477c1d;Posto de Saude Dr Luis Costa;Benfica;Rua Marechal Deodoro;"1501";"14, 401, 404, 411, 421";(85) 3131-7677;-3.748774;-38.538783
eae847d1-cf27-4266-a83f-a5d4c2b8202d;Posto de Saude Dr Marcus Aurelio Lima Verde;Santa Filomena;Rua Iracema;"1100";"63, 637, 648, 667, 670";(85) 3472-8490;-3.842470;-38.526391
"84ad9234-4dcd-47ab-bf4e-476cfdf0260d";Posto de Saude Dr Ocelo Pinheiro;Itaoca;Rua Elcias Lopes;"517";"27, 36, 44, 60, 73, 78, 80, 244, 307, 401, 411, 421, 823";(85) 3131-7334;-3.771015;-38.555502
"5e9cf1f1-3ca2-45ca-aa90-cae519b892bb";Posto de Saude Dr Otoni Cardoso do Vale;Paupina;Rua Jose Teixeira Costa;"643";"619";(85) 3274-8591;-3.847478;-38.480703
ace4202a-e6b3-4f7a-9769-8acbaba416c2;Posto de Saude Dr Pontes Neto;Conjunto Ceara;Rua 541;"122-136";"322";(85) 3259-5414;-3.768368;-38.610939
"5460a75a-1ae4-41f4-9087-0bf244546104";Posto de Saude Edilmar Noroes;Parque Dois Irmaos;Rua H;"351";"339, 405";(85) 3493-7656;-3.834839;-38.485417
"3ab63e17-d66b-4f6d-95d5-01d57011204b";Posto de Saude Eliezer Studart;Autran Nunes;Rua Tomaz Cavalcante;"545";"36; 43; 45; 76; 81; 218; 356; 709; 754; 316";(85) 3488-3259;-3.754924;-38.595684
"357fa439-3464-438b-aea2-8ccac3c72459";Posto de Saude Evandro Ayres de Moura;Conjunto Palmeiras;Av Castelo de Castro;"2842";"629; 660; 712";(85) 3269-7477;-3.844376;-38.521513
"5f0f5476-4828-450c-b4eb-bb25dc1dc45e";Posto de Saude Fausto Freire;Parque Santa Maria;Av Isabel Bezerra;"416";"621; 647";"";-3.855374;-38.498484
"251e18ed-0c76-4885-9f03-fa9530ab46d3";Posto de Saude Floresta;Alvaro Weyne;Rua Ten Jose Barreira;"251";"57; 60; 112; 122";(85) 3433-6657;-3.717166;-38.571585
be0efdf0-cd3f-4729-8d7a-5e5d53b86b7f;Posto de Saude Flavio Marcilio;Mucuripe;Av da Abolicao;"4180";"51; 55; 71; 77; 78; 99; 711; 752; 906";(85) 3433-2737;-3.723408;-38.480387
"79dcf63d-42b3-4edb-851b-3eb6367ea162";Posto de Saude Francisco Melo Jaborandi;Jangurussu;Rua Trezentos e Quinze;"80";"646";(85) 3256-8791;-3.835898;-38.524283
befe5fb0-02a6-41e8-9a67-9ac836405eab;Posto de Saude Franscisco Edmilson Pinheiro;Granja Lisboa;Av H;"2191";"327, 710, 43, 385, 36";(85) 3452-2421;-3.776959;-38.617805
"2d930798-e51c-4c3e-824d-031d731f4e5b";Posto de Saude Gilmario Mourao Teixeira;Pici;Rua Pernambuco;"1674";"243, 310";(85) 3488-3250;-3.756416;-38.572924
"18f08568-f9f5-40ff-8982-2688721fbe5c";Posto de Saude Graciliano Muniz;Conjunto Esperanca;Rua 106;"345";"379, 330, 131";(85) 3433-4913;-3.813919;-38.591085
"9687a3fd-7711-41f9-af04-84ba3ad743f6";Posto de Saude Guarany Mont alverne;Granja Lisboa;Rua Geraldo Barbosa;"3230";"333, 325, 343";(85) 3452-2496;-3.788425;-38.612704
"940dddf2-cd23-497d-bcf7-3c5c60c26a5c";Posto de Saude Gutemberg Braun;Vila Peri;Rua Monsenhor Agostinho;"505-443";"319";(85) 3452-5199;-3.787779;-38.582305
c36ad473-0578-4d47-a3bf-c1bc4d716055;Posto de Saude Herminia Leitao;Quintino Cunha;Rua General Joao Couto;"470";"58, 211";(85) 3433-9741;-3.731292;-38.588158
"56bce226-a545-4c28-94e6-ab9bc8da2b44";Posto de Saude Franscisco Edmilson Pinheiro;Granja Lisboa;Av H;"2191";"327, 710, 43, 385, 36";(85) 3452-2421;-3.776959;-38.617805
c0372982-1700-4b46-b5e6-34da959d733a;Posto de Saude Guiomar Arruda;Pirambu;Rua Gal Costa Matos;"6";"16; 51; 55; 92; 101; 120; 130; 132; 711; 725";(85) 3452-6377;-3.713311;-38.545551
"78dd99cb-6983-432c-bcc1-c189ad668672";Posto de Saude 4 Varas;Barra do Ceara;Rua Profeta Isaias;"456";"110; 140";(85) 3101-2594;-3.701542;-38.573376
a39863a0-ebd9-4034-bee6-c7fa65d8d029;Posto de Saude Abner Cavalcante Brasil;Bom Jardim;Rua Joana Batista;"471";"342";(85) 3452-2468;-3.804696;-38.608693
"68e644fe-3e0f-4bf5-90a9-31fb0e084341";Posto de Saude Aida Santos e Silva;Vicente Pinzon;Rua Trajano de Medeiros;"813";"77; 905; 913; 907";(85) 3433-2734;-3.736360;-38.461900
